CASEID,age,sex,education,weekly_working_hours,salary
2376,60-69,Male,Non-university postsecondary certificate or diploma,90,90000
2376,20-29,Male,Non-university postsecondary certificate or diploma,40,14000
2377,40-49,Male,Non-university postsecondary certificate or diploma,55,550
2378,20-29,Female,Graduated high school or partial postsecondary education,40,17000
2378,30-39,Male,Non-university postsecondary certificate or diploma,35,55000
2379,20-29,Female,Graduated high school or partial postsecondary education,20,23000
2379,30-39,Male,Graduated high school or partial postsecondary education,40,77500
2381,30-39,Male,Graduated high school or partial postsecondary education,40,35000
2382,50-59,Female,University degree or certificate,40,72500
2384,40-49,Female,Non-university postsecondary certificate or diploma,32,29000
2384,40-49,Male,Graduated high school or partial postsecondary education,40,42000
2385,50-59,Female,University degree or certificate,37.5,105000
2385,50-59,Male,University degree or certificate,35,90000
2389,40-49,Female,Non-university postsecondary certificate or diploma,40,23000
2389,40-49,Male,Non-university postsecondary certificate or diploma,84,92500
2391,20-29,Female,University degree or certificate,60,62500
2391,30-39,Male,University degree or certificate,40,47000
2392,20-29,Male,Graduated high school or partial postsecondary education,25,0
2394,30-39,Male,Non-university postsecondary certificate or diploma,36,55000
2395,60-69,Male,University degree or certificate,21,67500
2396,60-69,Female,Non-university postsecondary certificate or diploma,5,0
2396,50-59,Male,Graduated high school or partial postsecondary education,40,45000
2398,40-49,Male,Non-university postsecondary certificate or diploma,30,17500
2398,40-49,Female,Graduated high school or partial postsecondary education,40,52500
2399,30-39,Female,University degree or certificate,40,62500
2399,40-49,Male,Non-university postsecondary certificate or diploma,48,195000
2401,60-69,Male,University degree or certificate,40,115000
2402,30-39,Male,University degree or certificate,40,41000
2402,20-29,Female,University degree or certificate,40,24000
2404,50-59,Male,University degree or certificate,37.5,85000
2406,40-49,Male,Non-university postsecondary certificate or diploma,40,37000
2408,60-69,Male,Less than high school graduation,98,0
2408,60-69,Female,Graduated high school or partial postsecondary education,30,1100
2410,20-29,Female,University degree or certificate,37.7,60000
2410,20-29,Male,Non-university postsecondary certificate or diploma,60,29000
2411,50-59,Female,Graduated high school or partial postsecondary education,65,38000
2413,20-29,Male,Graduated high school or partial postsecondary education,30,5750
2413,40-49,Male,Non-university postsecondary certificate or diploma,42,140000
2414,30-39,Female,Non-university postsecondary certificate or diploma,40,45000
2414,40-49,Male,Non-university postsecondary certificate or diploma,35,62500
2415,20-29,Male,University degree or certificate,40,105000
2415,20-29,Male,University degree or certificate,40,43000
2416,30-39,Male,University degree or certificate,40,4800
2417,30-39,Female,Non-university postsecondary certificate or diploma,40,70000
2418,30-39,Female,Graduated high school or partial postsecondary education,37.5,51000
2419,30-39,Female,University degree or certificate,24,43000
2421,30-39,Male,Non-university postsecondary certificate or diploma,38.7,19000
2421,30-39,Female,University degree or certificate,36,57500
2422,30-39,Female,University degree or certificate,37.5,35000
2422,30-39,Male,University degree or certificate,47.5,47000
2423,50-59,Female,Graduated high school or partial postsecondary education,37.5,31000
2423,30-39,Female,Less than high school graduation,40,11000
2424,20-29,Female,Graduated high school or partial postsecondary education,30,9500
2424,40-49,Male,Non-university postsecondary certificate or diploma,40,12000
2426,40-49,Male,Graduated high school or partial postsecondary education,50,33000
2428,50-59,Male,University degree or certificate,50,115000
2430,50-59,Male,Graduated high school or partial postsecondary education,40,16000
2430,50-59,Female,Graduated high school or partial postsecondary education,40,24000
2431,60-69,Male,Less than high school graduation,40,20000
2432,30-39,Female,University degree or certificate,4,3600
2434,40-49,Female,University degree or certificate,30,26000
2434,50-59,Male,University degree or certificate,45,70000
2435,20-29,Female,University degree or certificate,35,34000
2435,30-39,Male,University degree or certificate,37.5,55000
2438,20-29,Male,Non-university postsecondary certificate or diploma,37.5,77500
2439,60-69,Female,Less than high school graduation,15,9250
2440,40-49,Male,Graduated high school or partial postsecondary education,40,33000
2440,40-49,Female,Graduated high school or partial postsecondary education,40,27000
2441,30-39,Male,Non-university postsecondary certificate or diploma,36,22000
2442,40-49,Female,Non-university postsecondary certificate or diploma,36,48000
2442,40-49,Male,Graduated high school or partial postsecondary education,40,0
2442,20-29,Female,Graduated high school or partial postsecondary education,16,22000
2442,16-19,Male,Graduated high school or partial postsecondary education,8,5000
2443,50-59,Female,Graduated high school or partial postsecondary education,40,80000
2444,40-49,Male,Graduated high school or partial postsecondary education,37.5,92500
2444,40-49,Female,University degree or certificate,37.5,33000
2445,50-59,Male,Less than high school graduation,45,29000
2446,40-49,Female,University degree or certificate,38,72500
2451,20-29,Female,Graduated high school or partial postsecondary education,42.5,39000
2452,50-59,Female,Non-university postsecondary certificate or diploma,40,80000
2453,40-49,Male,University degree or certificate,60,145000
2454,50-59,Male,Non-university postsecondary certificate or diploma,40,72500
2454,50-59,Female,Non-university postsecondary certificate or diploma,30,24000
2456,50-59,Male,University degree or certificate,100,0
2459,50-59,Female,Non-university postsecondary certificate or diploma,42.5,85000
2460,60-69,Female,Graduated high school or partial postsecondary education,37,40000
2461,30-39,Male,University degree or certificate,40,140000
2461,30-39,Female,University degree or certificate,35,40000
2462,50-59,Male,Graduated high school or partial postsecondary education,40,48000
2465,50-59,Female,Non-university postsecondary certificate or diploma,16,37000
2465,20-29,Male,University degree or certificate,16,9000
2465,20-29,Female,University degree or certificate,16,4100
2465,50-59,Male,University degree or certificate,50,195000
2468,30-39,Female,University degree or certificate,35,28000
2468,30-39,Male,Non-university postsecondary certificate or diploma,84,0
2469,30-39,Female,University degree or certificate,37.5,85000
2469,30-39,Male,University degree or certificate,50,4200
2470,60-69,Male,Graduated high school or partial postsecondary education,40,7250
2470,40-49,Female,University degree or certificate,40,24000
2471,30-39,Female,Graduated high school or partial postsecondary education,17,0
2471,30-39,Male,Non-university postsecondary certificate or diploma,40,120000
2473,50-59,Female,University degree or certificate,10,85000
2473,50-59,Male,Non-university postsecondary certificate or diploma,168,82500
2475,60-69,Male,University degree or certificate,3,3100
2475,60-69,Female,University degree or certificate,3.5,25
2476,30-39,Female,Non-university postsecondary certificate or diploma,36,62500
2477,30-39,Female,University degree or certificate,35,57500
2477,30-39,Male,Non-university postsecondary certificate or diploma,40,75000
2478,30-39,Female,Non-university postsecondary certificate or diploma,30,49000
2479,30-39,Female,University degree or certificate,40,39000
2479,30-39,Male,Non-university postsecondary certificate or diploma,40,82500
2481,20-29,Female,University degree or certificate,42.5,29000
2484,50-59,Male,Graduated high school or partial postsecondary education,30,6500
2485,40-49,Female,University degree or certificate,37.5,70000
2485,16-19,Female,Less than high school graduation,13,5500
2486,50-59,Male,Graduated high school or partial postsecondary education,40,42000
2486,40-49,Female,University degree or certificate,37.5,75000
2487,16-19,Female,Graduated high school or partial postsecondary education,25,15500
2487,20-29,Female,Graduated high school or partial postsecondary education,10,2100
2487,16-19,Female,Graduated high school or partial postsecondary education,12,9000
2489,30-39,Male,Graduated high school or partial postsecondary education,25,19500
2490,40-49,Male,Graduated high school or partial postsecondary education,30,9000
2491,40-49,Female,Graduated high school or partial postsecondary education,20,20000
2491,50-59,Male,Less than high school graduation,50,77500
2492,50-59,Female,Less than high school graduation,16,7250
2492,70+,Male,Less than high school graduation,50,5750
2493,40-49,Female,Non-university postsecondary certificate or diploma,48,72500
2493,50-59,Male,Non-university postsecondary certificate or diploma,40,115000
2493,16-19,Female,Graduated high school or partial postsecondary education,12,2000
2494,30-39,Male,Graduated high school or partial postsecondary education,40,110000
2494,30-39,Female,Non-university postsecondary certificate or diploma,35,55000
2495,40-49,Female,Graduated high school or partial postsecondary education,35,100000
2495,30-39,Male,Non-university postsecondary certificate or diploma,50,95000
2496,50-59,Female,Graduated high school or partial postsecondary education,40,55000
2496,50-59,Male,Graduated high school or partial postsecondary education,40,82500
2496,20-29,Male,Graduated high school or partial postsecondary education,30,7750
2499,60-69,Female,Less than high school graduation,5,12500
2499,50-59,Female,Less than high school graduation,44,35000
2500,40-49,Female,Non-university postsecondary certificate or diploma,35,39000
